parcel_id,split,systeme,label,area_ha,B02_mean,B02_std,B03_mean,B03_std,B04_mean,B04_std,B08_mean,B08_std,B11_mean,B11_std,ndvi_mean,ndvi_std,ndvi_p25,ndvi_p75,ndwi_mean,ndwi_std,ndwi_p25,ndwi_p75,ndre_mean,ndre_std,ndre_p25,ndre_p75,glcm_contrast,glcm_homogeneity,nir_red_ratio
parcel_1777662049508_exj14,val,intensif,1,74.01179995745333,764.262939453125,102.52910614013672,1092.798583984375,124.12029266357422,1257.67333984375,145.65853881835938,3093.320068359375,150.85739135742188,3239.977294921875,139.7312469482422,0.4225841164588928,0.05342972278594971,0.40317732095718384,0.45667868852615356,-0.478441059589386,0.047253694385290146,-0.5092296600341797,-0.4606033265590668,-0.023285603150725365,0.0323522686958313,-0.03813495486974716,-0.0019868945237249136,757.0135210638061,0.6271199856545521,2.490029811859131
parcel_1777662108262_dhxlg,val,intensif,1,370.10213776960774,593.6452026367188,87.7466049194336,871.02978515625,102.62931823730469,945.4617309570312,150.90182495117188,3038.97412109375,149.66903686523438,2733.75439453125,174.8177032470703,0.5261768698692322,0.06297852843999863,0.505609393119812,0.5638636946678162,-0.5544453263282776,0.04650573432445526,-0.58091801404953,-0.5413480401039124,0.0530724860727787,0.046165455132722855,0.028714550659060478,0.08381099998950958,740.0419540476089,0.5302459255156493,3.2845358848571777
parcel_1777662148660_qey6r,val,intensif,1,140.24199355289807,643.2586669921875,104.41998291015625,948.4833984375,135.5627899169922,1075.3939208984375,194.50135803222656,2879.31787109375,113.9618911743164,2856.793701171875,206.1943817138672,0.4589795172214508,0.06697822362184525,0.42145177721977234,0.5079835653305054,-0.505898654460907,0.048658888787031174,-0.5394665002822876,-0.48143211007118225,0.004794130101799965,0.038690343499183655,-0.022404450923204422,0.03466467559337616,923.2806400000001,0.4922848518700228,2.748441696166992
parcel_1777662294718_3mzv8,test,intensif,1,189.62078452448955,847.8564453125,265.70263671875,1159.4964599609375,336.30194091796875,1370.9022216796875,509.7010192871094,3343.37255859375,277.3040466308594,3369.386474609375,700.0123901367188,0.43355128169059753,0.12816566228866577,0.35618430376052856,0.5317279100418091,-0.49285170435905457,0.08984196186065674,-0.5623618364334106,-0.4323805570602417,0.004413786809891462,0.09627184271812439,-0.05789957195520401,0.07138242572546005,757.4091627550531,0.6034518989787482,2.717118740081787
parcel_1777662316778_yiudt,test,intensif,1,38.67454215888897,753.4400634765625,95.2957763671875,1019.38671875,124.41521453857422,1187.35791015625,178.04873657226562,3074.4736328125,126.63965606689453,3225.609130859375,247.50205993652344,0.44501855969429016,0.053805526345968246,0.4146239757537842,0.48167937994003296,-0.5032604336738586,0.0382595919072628,-0.528748095035553,-0.4833104610443115,-0.02293837070465088,0.040547437965869904,-0.049451105296611786,0.006908331532031298,1192.6448855803696,0.5224542065642702,2.636265516281128
parcel_1777662471199_933e1,train,intensif,1,81.67683945399635,579.3433227539062,181.88665771484375,879.3002319335938,247.515625,982.3472900390625,365.39166259765625,2726.646728515625,278.8204040527344,2372.7236328125,400.484130859375,0.48292505741119385,0.08287488669157028,0.4503840208053589,0.5343831777572632,-0.5190917253494263,0.05454735457897186,-0.5521227717399597,-0.49934080243110657,0.0732743889093399,0.05061753839254379,0.04565974324941635,0.1056184321641922,1324.4837365591397,0.544235059448398,2.9558026790618896
parcel_1777662498867_hce6r,train,intensif,1,58.29151952127791,1064.51611328125,565.9248046875,1601.3861083984375,817.35498046875,2136.34228515625,1298.84326171875,3635.47607421875,778.9116821289062,3846.2578125,1561.857666015625,0.3335702419281006,0.21381480991840363,0.12037527561187744,0.5416122078895569,-0.4292012155056,0.14038057625293732,-0.5674958825111389,-0.29481756687164307,0.004809744656085968,0.11754780262708664,-0.10936332494020462,0.10520356148481369,527.1623023866202,0.18800968274474533,2.390927314758301
parcel_1777662509830_ph4tb,train,intensif,1,8.74310119685055,862.3250732421875,469.3641662597656,1303.4998779296875,674.4277954101562,1658.8560791015625,1077.082763671875,3290.2626953125,683.5625610351562,3240.446533203125,1256.6539306640625,0.3886653184890747,0.17427049577236176,0.18361002206802368,0.5223961472511292,-0.46409815549850464,0.11375352740287781,-0.5529097318649292,-0.32479164004325867,0.03063272126019001,0.09254627674818039,-0.045771144330501556,0.09978201985359192,719.9685022265669,0.18077298554165105,2.5322630405426025
parcel_1777662532453_yoau8,train,intensif,1,35.54726370316011,940.1168212890625,475.0116882324219,1420.2391357421875,676.7565307617188,1854.7652587890625,1082.4530029296875,3346.93017578125,708.8038330078125,3537.544677734375,1281.3240966796875,0.3408573269844055,0.16472603380680084,0.1367097944021225,0.4785464406013489,-0.4333255887031555,0.10620297491550446,-0.5202031135559082,-0.30974021553993225,-0.007053009700030088,0.08814770728349686,-0.09362626820802689,0.06084619089961052,737.0310307188524,0.16620055854175936,2.2266461849212646
parcel_1777662559509_oh30t,train,intensif,1,27.05542478094186,1142.6065673828125,563.1981201171875,1710.6304931640625,795.614990234375,2291.632568359375,1231.0645751953125,3630.259765625,892.4791259765625,4077.369384765625,1404.3792724609375,0.2798513174057007,0.1574937254190445,0.11737804859876633,0.42385149002075195,-0.3908870816230774,0.10439162701368332,-0.4863910973072052,-0.28615814447402954,-0.04153114929795265,0.07418514043092728,-0.10797640681266785,0.013807429000735283,695.9969144460028,0.15648508461490657,1.9262899160385132
parcel_1777662581023_xa3jy,train,intensif,1,33.253440495313846,1047.9051513671875,490.75103759765625,1580.5233154296875,695.3788452148438,2117.943603515625,1078.31982421875,3451.578369140625,751.8524780273438,3956.795166015625,1279.10888671875,0.28574448823928833,0.1483161896467209,0.12781301140785217,0.4289604425430298,-0.3988465368747711,0.09837964922189713,-0.49256467819213867,-0.3036375343799591,-0.052740469574928284,0.07312936335802078,-0.12217146903276443,0.014156574383378029,621.4490019741172,0.1596082662159294,1.9290491342544556
parcel_1777662650200_lx0g1,train,intensif,1,402.06179939179646,1290.9775390625,522.654296875,1924.33642578125,730.161865234375,2671.54248046875,1113.4288330078125,3985.91796875,663.2486572265625,4582.5927734375,1247.90576171875,0.23249788582324982,0.15626981854438782,0.10204081982374191,0.38236838579177856,-0.37102654576301575,0.1156882494688034,-0.4853413701057434,-0.27423474192619324,-0.05539107322692871,0.09470803290605545,-0.12962305545806885,0.020268043503165245,243.37049132947982,0.17044011681775958,1.748911738395691
parcel_1777662674673_x7v1z,train,intensif,1,177.95771135487206,1005.9503173828125,364.7375183105469,1525.3553466796875,514.2413330078125,2047.985107421875,886.1262817382812,3624.765380859375,368.9476013183594,3909.357177734375,1132.17236328125,0.31379809975624084,0.20210528373718262,0.13309744000434875,0.43723320960998535,-0.42335763573646545,0.12946350872516632,-0.5036776661872864,-0.31177037954330444,-0.01616886630654335,0.14181630313396454,-0.12703697383403778,0.06573401391506195,248.82659774436092,0.15614067334755408,2.4455058574676514
parcel_1777662687780_8zuuk,train,intensif,1,32.665823337753025,1130.8533935546875,343.0274658203125,1725.7122802734375,495.2206115722656,2395.641357421875,864.5016479492188,3881.40673828125,395.3260803222656,4318.763671875,987.3544311523438,0.26189541816711426,0.158413827419281,0.12914930284023285,0.4036615788936615,-0.3959709107875824,0.10374028980731964,-0.48945555090904236,-0.3144758939743042,-0.04138953238725662,0.10072938352823257,-0.11336057633161545,0.03247082605957985,294.02246464646464,0.14459833918073578,1.8767777681350708
parcel_1777662715410_fr6g1,train,intensif,1,128.78852899505316,1150.961669921875,392.4491882324219,1726.7711181640625,579.6050415039062,2407.720703125,938.9171142578125,3653.524658203125,540.1865844726562,4362.990234375,1116.398193359375,0.24083729088306427,0.16770793497562408,0.11139610409736633,0.3436734676361084,-0.3772120475769043,0.1146635115146637,-0.4610305726528168,-0.28437748551368713,-0.07380139827728271,0.09509190171957016,-0.14730435609817505,-0.015169315971434116,299.1733385661957,0.1828261621424228,1.8176229000091553
parcel_1777662875975_5jz1b,val,intensif,1,105.91107426235152,1895.10498046875,138.13037109375,2888.799072265625,211.4361572265625,4297.572265625,350.7854919433594,5135.53955078125,353.77825927734375,6475.11328125,299.4734802246094,0.0892922580242157,0.014729305170476437,0.08088235557079315,0.09094718843698502,-0.2800135612487793,0.01808008924126625,-0.28615641593933105,-0.26953232288360596,-0.11602254211902618,0.01825375109910965,-0.12551259994506836,-0.10429570823907852,449.565899832255,0.11709885501958436,1.196687936782837
parcel_1777662889381_5q9ie,val,intensif,1,16.810050217460006,1768.149169921875,189.61083984375,2685.945556640625,283.75457763671875,3985.531494140625,457.30841064453125,4872.583984375,466.9023742675781,6147.6826171875,436.6923828125,0.10095153748989105,0.02962089516222477,0.08214139938354492,0.10266940295696259,-0.2893728017807007,0.027967851608991623,-0.294971764087677,-0.27076488733291626,-0.11670346558094025,0.029491202905774117,-0.13870297372341156,-0.10438039153814316,296.68536180800334,0.13814971479973437,1.2271281480789185
parcel_1777663020929_sz60j,val,intensif,1,13.15039699051966,1139.33203125,443.8178405761719,1777.6544189453125,668.0438842773438,2508.86669921875,1130.7554931640625,4206.94287109375,725.85498046875,4580.4189453125,1116.1513671875,0.2828788459300995,0.14544495940208435,0.11650241911411285,0.39438629150390625,-0.4212886393070221,0.09696170687675476,-0.4969131350517273,-0.3202647566795349,-0.03598405420780182,0.0947459414601326,-0.10421238094568253,0.03836749494075775,439.1920497500305,0.1365707857883049,1.9142582416534424
parcel_1777666827849_immef,train,intensif,1,615.6273959080931,1371.1107177734375,283.47735595703125,2016.1038818359375,390.8294372558594,2810.05810546875,530.7071533203125,3842.498779296875,560.662353515625,4895.1513671875,589.7316284179688,0.15750722587108612,0.06948196887969971,0.11173184216022491,0.19084399938583374,-0.3136317729949951,0.057668671011924744,-0.3501965403556824,-0.2742817997932434,-0.1220259815454483,0.07085859030485153,-0.1580166220664978,-0.08290954679250717,332.33731519177195,0.1318632421156825,1.4047561883926392
parcel_1777666990655_5k85g,test,intensif,1,84.43366113371383,982.6432495117188,293.7601013183594,1451.19677734375,384.4271240234375,1800.5595703125,530.2664184570312,3198.07958984375,405.7373352050781,3557.4833984375,720.5077514648438,0.29154565930366516,0.1242762953042984,0.1901143491268158,0.39534884691238403,-0.3827999234199524,0.09582272917032242,-0.4619029760360718,-0.31107577681541443,-0.046063683927059174,0.0933995470404625,-0.11195523291826248,0.026351897045969963,829.2092092092093,0.10955403526085879,1.9336249828338623
parcel_1777667140912_3xckb,train,intensif,1,294.60529504069433,2067.57275390625,610.2058715820312,2923.745849609375,692.010498046875,3959.53125,830.7615356445312,5200.76025390625,809.4911499023438,5737.66796875,697.9033203125,0.13998374342918396,0.05674013867974281,0.09609755873680115,0.17833857238292694,-0.2860373854637146,0.05576731637120247,-0.3171194791793823,-0.25342923402786255,-0.051146168261766434,0.07013583183288574,-0.11123726516962051,0.008514520712196827,373.07250296559914,0.13250810971283217,1.3365594148635864
parcel_1777667155941_ci6fx,train,intensif,1,46.166828108993165,1996.726318359375,565.1368408203125,2818.870849609375,666.9821166992188,3786.85205078125,846.7340087890625,5204.4833984375,657.9075927734375,5497.119140625,760.4210205078125,0.16538254916667938,0.08025606721639633,0.10012488067150116,0.2512263059616089,-0.3049141466617584,0.06995286792516708,-0.3682580292224884,-0.25155511498451233,-0.026140140369534492,0.07383780926465988,-0.09121191501617432,0.02841922454535961,498.02595182595184,0.10710977870502703,1.4203262329101562
parcel_1777667189888_bwda5,train,intensif,1,105.58105517579072,1964.932861328125,538.6277465820312,2811.832275390625,632.045654296875,3836.632080078125,795.40576171875,5064.5146484375,654.0081787109375,5674.88623046875,744.7362670898438,0.14395347237586975,0.07101840525865555,0.09039802849292755,0.2055530697107315,-0.2921757102012634,0.06337425112724304,-0.34375,-0.2504097819328308,-0.056158676743507385,0.07239685952663422,-0.11297376453876495,0.00021436663519125432,354.10309343434346,0.13903508798952305,1.3540490865707397
parcel_1777667281825_3deuj,train,intensif,1,72.88069155529948,725.5621948242188,318.29022216796875,1104.032958984375,406.54168701171875,1379.5380859375,607.3052368164062,3060.635498046875,464.04461669921875,3221.650390625,774.415771484375,0.39639753103256226,0.16892993450164795,0.24075540900230408,0.5263158082962036,-0.47895383834838867,0.11477826535701752,-0.5748599767684937,-0.37383610010147095,-0.018022648990154266,0.12023242563009262,-0.1174965351819992,0.0573527067899704,307.34922222222224,0.18343732517006556,2.6662323474884033
